date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:06:35	56626/56626	---M-Z	200	added ('OK')	text/html	date:Wed,%2018%20Jul%202018%2007:39:48%20GMT	http://www.themestarz.net/html/selfer/?storefront=envato-elements	C:/Users/hp/Downloads/website/Website%201/www.themestarz.net/html/selfer/index04b9.html	(from )
23:06:35	462/462	---M-Z	404	error ('Not%20Found')	text/html	date:Mon,%2005%20Dec%202022%2016:48:32%20GMT	http://www.themestarz.net/robots.txt		(from )
23:06:37	144832/144832	---M--	200	added ('OK')	text/css	date:Tue,%2017%20Jul%202018%2014:34:09%20GMT	http://www.themestarz.net/html/selfer/assets/bootstrap/css/bootstrap.min.css	C:/Users/hp/Downloads/website/Website%201/www.themestarz.net/html/selfer/assets/bootstrap/css/bootstrap.min.css	(from http://www.themestarz.net/html/selfer/?storefront=envato-elements)
23:06:39	34734/34734	---M--	200	added ('OK')	text/css	date:Tue,%2017%20Jul%202018%2014:35:08%20GMT	http://www.themestarz.net/html/selfer/assets/font-awesome/css/fontawesome-all.min.css	C:/Users/hp/Downloads/website/Website%201/www.themestarz.net/html/selfer/assets/font-awesome/css/fontawesome-all.min.css	(from http://www.themestarz.net/html/selfer/?storefront=envato-elements)
23:06:39	7782/7782	---M--	200	added ('OK')	text/css	date:Tue,%2017%20Jul%202018%2014:34:56%20GMT	http://www.themestarz.net/html/selfer/assets/css/magnific-popup.css	C:/Users/hp/Downloads/website/Website%201/www.themestarz.net/html/selfer/assets/css/magnific-popup.css	(from http://www.themestarz.net/html/selfer/?storefront=envato-elements)
23:06:40	3563/3563	---M--	200	added ('OK')	text/css	date:Tue,%2017%20Jul%202018%2014:34:57%20GMT	http://www.themestarz.net/html/selfer/assets/css/odometer-theme-default.css	C:/Users/hp/Downloads/website/Website%201/www.themestarz.net/html/selfer/assets/css/odometer-theme-default.css	(from http://www.themestarz.net/html/selfer/?storefront=envato-elements)
23:06:41	2936/2936	---M--	200	added ('OK')	text/css	date:Tue,%2017%20Jul%202018%2014:34:58%20GMT	http://www.themestarz.net/html/selfer/assets/css/owl.carousel.min.css	C:/Users/hp/Downloads/website/Website%201/www.themestarz.net/html/selfer/assets/css/owl.carousel.min.css	(from http://www.themestarz.net/html/selfer/?storefront=envato-elements)
23:06:41	51786/51786	---M--	200	added ('OK')	text/css	date:Tue,%2017%20Jul%202018%2014:34:59%20GMT	http://www.themestarz.net/html/selfer/assets/css/style.css	C:/Users/hp/Downloads/website/Website%201/www.themestarz.net/html/selfer/assets/css/style.css	(from http://www.themestarz.net/html/selfer/?storefront=envato-elements)
23:06:42	3363/3363	---M--	200	added ('OK')	image/png	date:Tue,%2017%20Jul%202018%2014:37:37%20GMT	http://www.themestarz.net/html/selfer/assets/img/logo.png	C:/Users/hp/Downloads/website/Website%201/www.themestarz.net/html/selfer/assets/img/logo.png	(from http://www.themestarz.net/html/selfer/?storefront=envato-elements)
23:06:43	4311/4311	---M--	200	added ('OK')	image/png	date:Tue,%2017%20Jul%202018%2014:36:37%20GMT	http://www.themestarz.net/html/selfer/assets/img/icon-brushes.png	C:/Users/hp/Downloads/website/Website%201/www.themestarz.net/html/selfer/assets/img/icon-brushes.png	(from http://www.themestarz.net/html/selfer/?storefront=envato-elements)
23:06:44	4206/4206	---M--	200	added ('OK')	image/png	date:Tue,%2017%20Jul%202018%2014:36:38%20GMT	http://www.themestarz.net/html/selfer/assets/img/icon-camera.png	C:/Users/hp/Downloads/website/Website%201/www.themestarz.net/html/selfer/assets/img/icon-camera.png	(from http://www.themestarz.net/html/selfer/?storefront=envato-elements)
23:06:45	4323/4323	---M--	200	added ('OK')	image/png	date:Tue,%2017%20Jul%202018%2014:36:44%20GMT	http://www.themestarz.net/html/selfer/assets/img/icon-video.png	C:/Users/hp/Downloads/website/Website%201/www.themestarz.net/html/selfer/assets/img/icon-video.png	(from http://www.themestarz.net/html/selfer/?storefront=envato-elements)
23:06:45	4133/4133	---M--	200	added ('OK')	image/png	date:Tue,%2017%20Jul%202018%2014:36:40%20GMT	http://www.themestarz.net/html/selfer/assets/img/icon-pencil.png	C:/Users/hp/Downloads/website/Website%201/www.themestarz.net/html/selfer/assets/img/icon-pencil.png	(from http://www.themestarz.net/html/selfer/?storefront=envato-elements)
23:06:46	3602/3602	---M--	200	added ('OK')	image/png	date:Tue,%2017%20Jul%202018%2014:36:40%20GMT	http://www.themestarz.net/html/selfer/assets/img/icon-lcd.png	C:/Users/hp/Downloads/website/Website%201/www.themestarz.net/html/selfer/assets/img/icon-lcd.png	(from http://www.themestarz.net/html/selfer/?storefront=envato-elements)
23:06:46	3329/3329	---M--	200	added ('OK')	image/png	date:Tue,%2017%20Jul%202018%2014:36:42%20GMT	http://www.themestarz.net/html/selfer/assets/img/icon-phone.png	C:/Users/hp/Downloads/website/Website%201/www.themestarz.net/html/selfer/assets/img/icon-phone.png	(from http://www.themestarz.net/html/selfer/?storefront=envato-elements)
23:06:47	74879/74879	---M--	200	added ('OK')	image/jpeg	date:Tue,%2017%20Jul%202018%2014:36:23%20GMT	http://www.themestarz.net/html/selfer/assets/img/bg-hero.jpg	C:/Users/hp/Downloads/website/Website%201/www.themestarz.net/html/selfer/assets/img/bg-hero.jpg	(from http://www.themestarz.net/html/selfer/?storefront=envato-elements)
23:06:49	20593/20593	---M--	200	added ('OK')	image/jpeg	date:Tue,%2017%20Jul%202018%2014:36:45%20GMT	http://www.themestarz.net/html/selfer/assets/img/img-man-looking.jpg	C:/Users/hp/Downloads/website/Website%201/www.themestarz.net/html/selfer/assets/img/img-man-looking.jpg	(from http://www.themestarz.net/html/selfer/?storefront=envato-elements)
23:06:49	12605/12605	---M--	200	added ('OK')	image/png	date:Tue,%2017%20Jul%202018%2014:36:47%20GMT	http://www.themestarz.net/html/selfer/assets/img/img-work-01.png	C:/Users/hp/Downloads/website/Website%201/www.themestarz.net/html/selfer/assets/img/img-work-01.png	(from http://www.themestarz.net/html/selfer/?storefront=envato-elements)
23:06:50	14625/14625	---M--	200	added ('OK')	image/png	date:Tue,%2017%20Jul%202018%2014:36:48%20GMT	http://www.themestarz.net/html/selfer/assets/img/img-work-02.png	C:/Users/hp/Downloads/website/Website%201/www.themestarz.net/html/selfer/assets/img/img-work-02.png	(from http://www.themestarz.net/html/selfer/?storefront=envato-elements)
23:06:50	7645/7645	---M--	200	added ('OK')	image/png	date:Tue,%2017%20Jul%202018%2014:36:49%20GMT	http://www.themestarz.net/html/selfer/assets/img/img-work-03.png	C:/Users/hp/Downloads/website/Website%201/www.themestarz.net/html/selfer/assets/img/img-work-03.png	(from http://www.themestarz.net/html/selfer/?storefront=envato-elements)
23:06:53	17708/17708	---M--	200	added ('OK')	image/png	date:Tue,%2017%20Jul%202018%2014:36:56%20GMT	http://www.themestarz.net/html/selfer/assets/img/img-work-05.png	C:/Users/hp/Downloads/website/Website%201/www.themestarz.net/html/selfer/assets/img/img-work-05.png	(from http://www.themestarz.net/html/selfer/?storefront=envato-elements)
